folio;depto;area;s10b_10_01;s10b_10_02;s10b_10_03;s10b_10_04;s10b_10_05;s10b_10_06;s10b_10_07;s10b_10_08;s10b_10_09;s10b_10_10;s10b_10_11;s10b_10_12;s10b_10_13;s10b_10_14;s10b_10_15;s10b_10_16;s10b_10_17;s10b_10_18;s10b_10_19;s10b_10_20;s10b_10_21;s10b_10_22;s10b_10_23;s10b_10_24;s10b_10_25;s10b_10_26;s10b_10_27;s10b_10_28;s10b_10_29;s10b_10_30;s10b_10_31;s10b_10_32;s10b_11_01;s10b_11_02;s10b_11_03;s10b_11_04;s10b_11_05;s10b_11_06;s10b_11_07;s10b_11_08;s10b_12_01;s10b_12_02;s10b_12_03;s10b_13_01;s10b_13_02;s10b_13_03;s10b_13_04;s10b_13_05;s10b_13_06;s10b_13_07;s10b_13_08;s10b_13_09;s10b_13_10;s10b_13_11;s10b_13_12;s10b_13_13;s10b_13_14;upm;estrato;factor
713-05212286361-A-0061;Santa Cruz;Urbana;10;150;0;0;0;0;30;0;0;0;0;0;0;0;0;0;30;10;15;0;20;0;0;0;0;0;0;0;0;30;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;0;713-05212286361-A;13;535,796854333076
713-05212286361-A-0091;Santa Cruz;Urbana;40;150;0;0;0;0;100;20;0;0;400;200;300;0;0;0;0;70;0;150;100;0;0;0;0;0;0;0;0;70;50;50;0;1000;350;350;0;0;30;70;0;0;0;0;0;150;200;0;600;600;0;0;800;0;0;350;0;713-05212286361-A;13;535,796854333076
713-05212286361-A-0121;Santa Cruz;Urbana;80;450;0;0;500;0;200;40;45;0;0;0;150;0;350;0;0;0;0;200;80;0;0;350;0;0;0;0;350;150;140;140;0;400;700;0;200;0;20;0;0;0;150;0;250;650;350;0;250;450;70;0;0;0;0;2000;0;713-05212286361-A;13;535,796854333076
713-05212286361-A-0141;Santa Cruz;Urbana;100;100;0;0;0;0;200;10;60;0;0;0;125;0;300;0;0;0;0;0;70;0;0;0;200;0;0;0;400;150;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;200;1500;0;0;0;0;0;50;0;713-05212286361-A;13;535,796854333076
713-05212286361-A-0171;Santa Cruz;Urbana;40;35;0;0;350;0;70;25;60;0;0;0;250;0;120;0;0;200;30;0;120;0;0;0;0;0;0;0;560;150;100;100;0;350;500;600;0;0;0;60;0;150;150;0;0;0;0;0;300;1000;200;0;0;0;0;400;0;713-05212286361-A;13;535,796854333076
713-05212286361-A-0201;Santa Cruz;Urbana;200;300;0;0;0;0;200;30;50;0;400;350;300;0;0;0;0;80;0;100;0;0;0;0;0;0;0;0;350;200;70;70;0;0;0;0;0;0;0;0;80;300;80;0;0;0;0;0;300;2000;0;0;0;0;0;0;0;713-05212286361-A;13;535,796854333076
713-05212286361-A-0231;Santa Cruz;Urbana;20;50;0;0;0;0;25;15;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;20;0;0;0;100;200;150;0;0;0;0;0;0;0;0;0;0;0;0;100;350;0;0;0;0;0;0;0;713-05212286361-A;13;535,796854333076
713-05212286361-A-0261;Santa Cruz;Urbana;180;300;0;0;0;0;30;70;0;0;0;60;60;0;0;0;0;80;20;0;30;0;0;0;0;0;0;0;0;0;170;110;0;120;0;0;0;0;0;0;0;0;0;0;0;0;70;0;500;1200;0;0;0;0;0;0;0;713-05212286361-A;13;535,796854333076
713-05212286361-A-0291;Santa Cruz;Urbana;100;300;0;0;0;0;50;20;0;400;0;0;0;60;0;0;60;80;30;0;0;0;0;0;0;0;0;0;0;0;170;100;0;200;0;200;0;0;0;0;0;0;0;0;50;0;250;0;300;600;300;0;0;0;0;0;0;713-05212286361-A;13;535,796854333076
713-05212286361-A-0311;Santa Cruz;Urbana;150;600;0;0;0;0;100;18;40;0;0;200;50;0;0;0;0;150;80;0;0;0;0;0;0;0;0;0;0;0;170;100;0;100;200;0;0;0;0;0;0;0;0;0;120;0;0;0;250;1200;30;0;0;0;0;0;0;713-05212286361-A;13;535,796854333076
