"","Ent,","Entidad","Fecha de Datos","Ppto, Aprobado","Crédito Vigente","Comprometido","Devengado","Pagado","Saldo por Pagar","Deuda Flotante"
"146",1330,"Gobierno Autónomo Municipal de Tapacari",2021-03-31,24453633,25368188.1,3222584.28,3222584.28,3202371.39,0,20212.89
"147",1331,"Gobierno Autónomo Municipal de Totora",2021-03-31,12261498,17837666.81,2849923.27,2849923.27,2621953.27,0,227970
"148",1332,"Gobierno Autónomo Municipal de Pojo",2021-03-31,8520701,9911859.11,978390.07,978390.07,978390.07,0,0
"149",1333,"Gobierno Autónomo Municipal de Pocona",2021-03-31,8631023,9691374.29,1191677.79,1191677.79,1191677.79,0,0
"150",1334,"Gobierno Autónomo Municipal de Chimoré",2021-03-31,21241850,27081139.78,4052957.85,4052957.85,3948659.85,0,104298
"151",1335,"Gobierno Autónomo Municipal de Puerto Villarroel",2021-03-31,51036561,65393578.77,9950787.99,9950787.99,9708103.45,0,242684.54
"152",1336,"Gobierno Autónomo Municipal de Arani",2021-03-31,13725129,15325129,3264218.2,3264218.2,3264218.2,0,0
"153",1337,"Gobierno Autónomo Municipal de Vacas",2021-03-31,7213431,7802895.84,1525277.25,1525277.25,1525277.25,0,0
"154",1338,"Gobierno Autónomo Municipal de Arque",2021-03-31,8565818,9935540.59,1719429.12,1719429.12,1679091.72,0,40337.4
"155",1339,"Gobierno Autónomo Municipal de Tacopaya",2021-03-31,11947958,12051292,874125.78,874125.78,874125.78,0,0
"156",1340,"Gobierno Autónomo Municipal de Bolivar",2021-03-31,6893491,7489594.09,1574030.62,1574030.62,1574030.62,0,0
"157",1341,"Gobierno Autónomo Municipal de Tiraque",2021-03-31,24944426,36271126.77,8766547.51,8766547.51,8766547.51,0,0
"158",1342,"Gobierno Autónomo Municipal de Mizque",2021-03-31,20735361,28105971.54,4331748.69,4331748.69,4331748.69,0,0
"159",1343,"Gobierno Autónomo Municipal de Vila Vila",2021-03-31,5013006,5815765.35,998241.49,998241.49,998241.49,0,0
"160",1344,"Gobierno Autónomo Municipal de Alalay",2021-03-31,2845551,3371081.87,460083.65,460083.65,460083.65,0,0
"161",1345,"Gobierno Autónomo Municipal de Entre Rios",2021-03-31,33319068,33591000,2769428.67,2769428.67,2769428.67,0,0
"162",1346,"Gobierno Autónomo Municipal de Cocapata",2021-03-31,17179505,17616448.95,3408552.68,3408552.68,2863337.75,0,545214.93
"163",1347,"Gobierno Autónomo Municipal de Shinahota",2021-03-31,24678024,28548871.68,3878316.02,3878316.02,3801712.73,0,76603.29
"164",1401,"Gobierno Autónomo Municipal de Oruro",2021-03-31,473158829,473376014,88667817.22,84473856.55,77785328.28,4193960.67,6688528.27
"165",1402,"Gobierno Autónomo Municipal de Caracollo",2021-03-31,30860827,30476164,1702711.49,1702711.49,1702711.49,0,0
"166",1403,"Gobierno Autónomo Municipal de El Choro",2021-03-31,9699247,9801266,979967.36,979967.36,979967.36,0,0
"167",1404,"Gobierno Autónomo Municipal de Challapata",2021-03-31,36921682,40915015.55,7578748.23,7578748.23,7578748.23,0,0
